fpr,tpr
0.000000,0.000000
0.000000,0.000672
0.000000,0.004704
0.000000,0.006720
0.000000,0.007392
0.000000,0.008737
0.000000,0.016129
0.000000,0.017473
0.000000,0.025538
0.000096,0.025538
0.000096,0.026882
0.000096,0.028226
0.000096,0.030242
0.000096,0.031586
0.000096,0.034274
0.000096,0.035618
0.000096,0.036290
0.000193,0.036290
0.000193,0.036962
0.000385,0.036962
0.000385,0.038306
0.000385,0.039651
0.000385,0.043683
0.000482,0.043683
0.000482,0.046371
0.000482,0.047715
0.000578,0.047715
0.000578,0.048387
0.000675,0.048387
0.000675,0.049059
0.000675,0.051747
0.000675,0.055780
0.000771,0.055780
0.000771,0.057124
0.000771,0.058468
0.000771,0.059812
0.000771,0.061156
0.000771,0.063844
0.000771,0.065188
0.000771,0.069220
0.000867,0.069220
0.000867,0.071237
0.000867,0.072581
0.000867,0.073253
0.001060,0.073253
0.001060,0.076613
0.001060,0.077957
0.001060,0.078629
0.001060,0.079973
0.001060,0.081317
0.001060,0.082661
0.001060,0.084677
0.001156,0.084677
0.001156,0.090054
0.001446,0.090054
0.001446,0.090726
0.001446,0.093414
0.001446,0.098118
0.001446,0.099462
0.001446,0.100134
0.001638,0.100134
0.001638,0.107527
0.001638,0.111559
0.001831,0.111559
0.001831,0.112903
0.002024,0.112903
0.002024,0.116935
0.002024,0.118280
0.002024,0.119624
0.002120,0.119624
0.002120,0.120296
0.002216,0.120296
0.002216,0.120968
0.002313,0.120968
0.002313,0.124328
0.002506,0.124328
0.002506,0.125000
0.002602,0.125000
0.002602,0.126344
0.002698,0.126344
0.002698,0.127688
0.003276,0.127688
0.003276,0.131720
0.003662,0.131720
0.003662,0.133737
0.003758,0.133737
0.003758,0.134409
0.003951,0.134409
0.003951,0.136425
0.004047,0.136425
0.004047,0.137769
0.004144,0.137769
0.004144,0.140457
0.004144,0.141801
0.004144,0.142473
0.004240,0.142473
0.004240,0.148522
0.004240,0.149866
0.004240,0.151882
0.004337,0.151882
0.004337,0.154570
0.004337,0.156586
0.004337,0.161962
0.004433,0.161962
0.004433,0.164651
0.004433,0.165323
0.004433,0.168011
0.004433,0.169355
0.004529,0.169355
0.004529,0.170699
0.004529,0.172043
0.004626,0.172043
0.004626,0.172715
0.004722,0.172715
0.004722,0.179435
0.004915,0.179435
0.005011,0.179435
0.005011,0.180108
0.005107,0.180108
0.005107,0.181452
0.005107,0.183468
0.005107,0.184812
0.005107,0.185484
0.005204,0.185484
0.005204,0.188172
0.005493,0.188172
0.005493,0.189516
0.005589,0.189516
0.005589,0.192204
0.005589,0.193548
0.005589,0.195565
0.005878,0.195565
0.005878,0.196909
0.005975,0.196909
0.005975,0.200269
0.005975,0.201613
